feature,importance
ENSG00000130176.8,0.03537831
ENSG00000100219.16,0.034431364
ENSG00000106541.12,0.031270385
ENSG00000133392.18,0.021742104
ENSG00000141736.14,0.015994819
ENSG00000124664.11,0.014323287
ENSG00000160180.15,0.01375269
ENSG00000164434.12,0.01303078
ENSG00000164128.7,0.008921278
ENSG00000107485.18,0.007978955
ENSG00000087086.15,0.007804992
ENSG00000173467.9,0.00775105
ENSG00000276775.1,0.0076679946
ENSG00000186081.12,0.007316168
ENSG00000229117.9,0.007211832
ENSG00000163017.14,0.0064724376
ENSG00000175899.15,0.0064701647
ENSG00000240583.13,0.006290398
ENSG00000159763.4,0.006077096
ENSG00000244468.1,0.0060720146
ENSG00000141424.13,0.0059458045
ENSG00000198183.12,0.005612557
ENSG00000120129.6,0.0055575147
ENSG00000124157.7,0.00549766
ENSG00000092054.13,0.005492362
ENSG00000170373.8,0.0054914933
ENSG00000096088.16,0.0052904407
ENSG00000128422.17,0.0051067895
ENSG00000171199.11,0.0051020896
ENSG00000181617.6,0.004813836
ENSG00000200795.1,0.0043758797
ENSG00000124102.5,0.0043616034
ENSG00000243290.3,0.0043590595
ENSG00000280411.1,0.004357249
ENSG00000143320.9,0.004221809
ENSG00000169710.9,0.0041777915
ENSG00000120738.8,0.004153779
ENSG00000109062.12,0.0041329386
13q,0.0040692934
ENSG00000100285.10,0.0040497417
ENSG00000149021.7,0.003981189
ENSG00000143546.10,0.003948231
ENSG00000022267.19,0.0039455034
ENSG00000211949.3,0.003927859
ENSG00000268751.1,0.0038977766
ENSG00000186847.6,0.0038895477
ENSG00000211945.2,0.0038616348
ENSG00000211947.2,0.0038403124
ENSG00000204287.14,0.0037554377
ENSG00000170323.9,0.0037236463
ENSG00000172551.11,0.0036887378
ENSG00000204628.12,0.0036525782
20q,0.0036442764
ENSG00000167751.13,0.0036435435
ENSG00000019582.15,0.0036071464
ENSG00000142192.21,0.0035956248
ENSG00000145423.5,0.0034126113
16q,0.0034021134
ENSG00000130598.16,0.0034003328
ENSG00000123838.11,0.0033903508
ENSG00000086548.9,0.0033898081
ENSG00000200959.1,0.0033485445
ENSG00000084207.18,0.0033282274
ENSG00000135052.16,0.0032386244
ENSG00000159388.6,0.0032256732
ENSG00000149273.15,0.0032116713
ENSG00000173991.6,0.0031750437
ENSG00000164692.18,0.003106257
ENSG00000135222.6,0.0029747498
ENSG00000100316.16,0.0029455451
ENSG00000159674.12,0.0029011848
ENSG00000160862.13,0.0028762794
ENSG00000105193.9,0.0028736684
ENSG00000196754.13,0.0028588013
ENSG00000070756.17,0.002848384
ENSG00000196230.13,0.0028326968
ENSG00000131771.14,0.0028247335
ENSG00000211445.12,0.0028167588
ENSG00000253755.1,0.0027996376
ENSG00000105640.13,0.0027711384
ENSG00000113140.11,0.0027506284
ENSG00000252621.1,0.0027450041
ENSG00000118705.17,0.0027406544
ENSG00000143153.13,0.0026879464
ENSG00000163220.11,0.0026848286
ENSG00000162244.12,0.0026593853
ENSG00000211955.2,0.0026571604
ENSG00000143878.10,0.0026465382
ENSG00000128016.7,0.0025901825
ENSG00000012223.13,0.0025830679
ENSG00000074800.16,0.0025694927
ENSG00000163993.7,0.0025569748
ENSG00000124935.4,0.002544567
ENSG00000132465.12,0.0025422808
ENSG00000162896.6,0.00252453
ENSG00000099194.6,0.0025199614
ENSG00000125691.14,0.0024967215
ENSG00000244575.3,0.0024757565
ENSG00000266019.1,0.002474863
ENSG00000204385.13,0.002474514
ENSG00000170893.4,0.0024667564
ENSG00000189377.9,0.0024486578
ENSG00000130203.10,0.002441279
ENSG00000131469.15,0.0024008632
ENSG00000165272.16,0.0023924047
ENSG00000164265.9,0.0023879607
ENSG00000102837.7,0.0023826384
ENSG00000182492.16,0.0023810782
ENSG00000125414.19,0.0023563176
ENSG00000168542.16,0.002352389
3p,0.0023339458
ENSG00000188257.12,0.0023197068
ENSG00000198074.10,0.0022786856
ENSG00000169442.9,0.002277882
ENSG00000186395.8,0.0022727835
ENSG00000187244.12,0.0022693225
ENSG00000075624.17,0.0022676766
ENSG00000224373.3,0.0022472085
5p,0.002223484
ENSG00000131171.13,0.0022171945
ENSG00000198938.2,0.0022143542
ENSG00000089199.10,0.0022031139
ENSG00000165949.12,0.0021947597
ENSG00000171201.12,0.0021807582
ENSG00000113739.10,0.002178157
ENSG00000139329.5,0.0021699478
8p,0.0021651373
ENSG00000142937.12,0.0021368158
ENSG00000099795.7,0.0021036945
ENSG00000265972.6,0.0020892064
ENSG00000197747.9,0.0020836906
ENSG00000105372.8,0.0020767043
ENSG00000102265.12,0.0020751979
ENSG00000118523.6,0.0020639922
10p,0.0020566208
ENSG00000212605.1,0.00205169
ENSG00000211668.2,0.0020441525
ENSG00000167332.9,0.0020428598
ENSG00000142534.7,0.0020410395
ENSG00000164879.7,0.0020302327
ENSG00000130513.6,0.002023063
ENSG00000122711.9,0.0020104097
ENSG00000096384.20,0.0020070055
8q,0.0019997922
ENSG00000142156.15,0.0019736711
ENSG00000122852.15,0.0019676788
ENSG00000277791.5,0.0019199102
