feature,importance
ENSG00000211648.2,0.014668547
ENSG00000160180.15,0.010737165
ENSG00000164266.11,0.010452027
ENSG00000125999.11,0.009973334
ENSG00000211950.2,0.00918309
ENSG00000211941.3,0.008678515
ENSG00000174444.15,0.008606476
ENSG00000241755.1,0.00853286
ENSG00000211669.3,0.008179001
ENSG00000187608.10,0.0073711197
ENSG00000159184.8,0.0073090005
ENSG00000211964.3,0.0067141815
cg16647921,0.0064901975
cg09094964,0.006229738
ENSG00000159182.5,0.0060283937
ENSG00000234745.12,0.0060040173
ENSG00000212443.1,0.005823427
cg19351954,0.0055928943
cg07162000,0.0055174134
ENSG00000070756.17,0.0054786
ENSG00000152661.9,0.0053990665
ENSG00000198899.2,0.0053737056
ENSG00000133321.11,0.0053525344
ENSG00000139329.5,0.0052573825
ENSG00000149591.17,0.005244546
12q,0.0052094897
ENSG00000188643.11,0.0050522867
cg23076870,0.0050021517
ENSG00000197956.10,0.004971497
cg08866780,0.0048777848
cg11528328,0.0048362273
cg00535785,0.0048235566
ENSG00000106541.12,0.0047761085
cg14931854,0.00476947
cg23179456,0.0047473344
ENSG00000111348.9,0.004717455
ENSG00000123689.6,0.0046591186
cg07205203,0.004656601
ENSG00000114854.8,0.0046482543
ENSG00000173991.6,0.004477217
ENSG00000142515.15,0.0044504753
ENSG00000241351.3,0.004352742
ENSG00000063177.13,0.004264938
cg07802350,0.0042606737
cg23192683,0.0042576217
ENSG00000104267.10,0.0042509567
cg26858540,0.004222396
ENSG00000145425.10,0.004167339
ENSG00000175793.12,0.004118816
cg16236270,0.0041054403
ENSG00000164326.5,0.004097501
5q,0.0040890197
cg08489309,0.0040341406
ENSG00000179593.16,0.0040191566
ENSG00000167332.9,0.003970479
cg01893212,0.003957507
ENSG00000166598.15,0.0039277985
ENSG00000125356.7,0.0039166054
10p,0.0038518868
ENSG00000211668.2,0.0038064918
ENSG00000281990.1,0.0037493869
ENSG00000272398.6,0.003716687
cg14041701,0.0036504942
ENSG00000142089.16,0.0036428464
ENSG00000165215.6,0.0036389388
ENSG00000168542.16,0.0036205244
cg05116002,0.003614554
ENSG00000185303.17,0.0036000418
cg15931471,0.0035922094
ENSG00000196188.12,0.0035345652
ENSG00000165949.12,0.0034928191
ENSG00000211637.2,0.003462032
ENSG00000072042.13,0.0034348369
3q,0.0033763607
ENSG00000111057.11,0.0033730958
ENSG00000149273.15,0.0033327914
1q,0.003332075
ENSG00000143819.12,0.0033025139
ENSG00000211662.2,0.0033015234
cg17463633,0.0032546245
ENSG00000102172.16,0.0032451705
ENSG00000130066.16,0.0032128931
ENSG00000105825.14,0.0032117306
cg17399362,0.0032095236
ENSG00000173369.17,0.0031970316
ENSG00000131771.14,0.0031468957
ENSG00000204305.14,0.0031456042
ENSG00000169738.8,0.003105598
ENSG00000122711.9,0.003068785
ENSG00000160932.11,0.003005657
ENSG00000225630.1,0.0029815163
ENSG00000167034.10,0.0029629823
ENSG00000211899.10,0.0029503936
ENSG00000163191.6,0.0029317404
ENSG00000189334.9,0.002917143
ENSG00000131171.13,0.002913849
cg21577651,0.0028738927
ENSG00000100316.16,0.0028630828
ENSG00000107223.13,0.0028463455
cg11445797,0.0028425436
ENSG00000122585.8,0.0028422072
ENSG00000141753.7,0.002826982
ENSG00000211670.2,0.0028117795
cg23097686,0.0028102
ENSG00000170323.9,0.0028099567
ENSG00000100985.7,0.002758384
cg13879483,0.0027562974
cg17919152,0.0027540165
cg14262681,0.002730733
ENSG00000189058.9,0.0027223437
cg09043941,0.0026936613
ENSG00000106211.10,0.0026875234
ENSG00000240583.13,0.0026482847
ENSG00000034510.6,0.0026475242
cg11863717,0.002554555
cg03616722,0.0025520972
ENSG00000156234.7,0.0025390403
ENSG00000228253.1,0.0025114098
ENSG00000196154.12,0.0025104422
ENSG00000122133.17,0.0024991888
ENSG00000206585.1,0.0024955247
cg19053239,0.0024853596
ENSG00000124664.11,0.0024461579
cg00306851,0.002443723
ENSG00000233927.5,0.002431177
ENSG00000115884.11,0.0024261698
ENSG00000223350.2,0.002420577
ENSG00000175130.7,0.0024166263
ENSG00000111669.15,0.002392039
ENSG00000118785.14,0.002391112
ENSG00000101470.10,0.0023778647
cg27429080,0.00236248
cg05743713,0.002326835
ENSG00000198886.2,0.0023115326
ENSG00000162896.6,0.0023072013
cg00912247,0.002284372
ENSG00000145423.5,0.0022739645
cg20601919,0.002239996
ENSG00000105193.9,0.002236428
cg25737323,0.0022363253
cg26864905,0.0022232095
ENSG00000102837.7,0.0022169126
ENSG00000233276.7,0.0022163254
ENSG00000205420.11,0.0022145815
ENSG00000175084.12,0.0022020831
ENSG00000140988.16,0.0021912558
ENSG00000210196.2,0.0021893547
cg19047660,0.0021339487
ENSG00000130203.10,0.002126166
ENSG00000278771.1,0.0021020873
ENSG00000125144.14,0.0021008716
ENSG00000158715.6,0.0020940914
ENSG00000104879.5,0.002092473
ENSG00000135052.16,0.0020699375
ENSG00000118640.11,0.0020592734
ENSG00000132465.12,0.0020592164
ENSG00000204628.12,0.002055394
ENSG00000197747.9,0.0020226145
ENSG00000211965.4,0.0020167625
ENSG00000160862.13,0.0019997002
ENSG00000181617.6,0.0019878629
ENSG00000019582.15,0.0019663132
ENSG00000117472.10,0.0019646634
ENSG00000087086.15,0.001949952
4q,0.0019446744
cg27091865,0.0019413524
Xq,0.0019385841
ENSG00000208772.1,0.0019375675
cg08857906,0.0019278273
cg08000684,0.0019228274
ENSG00000221716.1,0.00191271
7p,0.0019095244
cg03596016,0.0019065981
ENSG00000163993.7,0.0018899111
cg22524657,0.0018875191
ENSG00000207175.1,0.0018821858
cg22740796,0.0018815222
ENSG00000103363.15,0.0018722571
ENSG00000189377.9,0.0018693858
ENSG00000141736.14,0.0018657711
cg16810279,0.001863622
ENSG00000129824.16,0.0018634034
ENSG00000014257.16,0.0018493403
ENSG00000206503.13,0.0018361842
ENSG00000089220.5,0.0018163644
6p,0.0018076182
ENSG00000106624.11,0.0018039184
ENSG00000164265.9,0.0018005986
8p,0.0017924261
ENSG00000197958.13,0.0017856456
ENSG00000227063.5,0.0017812959
ENSG00000096006.12,0.0017672811
cg21261158,0.0017667824
1p,0.0017572355
cg17154724,0.0017462703
cg26055747,0.001744479
ENSG00000171564.12,0.001741746
ENSG00000101443.18,0.0017347164
ENSG00000198125.13,0.0017341881
11q,0.001733383
cg17375167,0.0017319472
ENSG00000125148.7,0.0017294663
ENSG00000169100.14,0.0017231354
ENSG00000129538.14,0.0017147826
ENSG00000200156.1,0.0017053948
ENSG00000134258.17,0.0017004627
5p,0.0016991217
ENSG00000172551.11,0.0016964246
ENSG00000187837.4,0.0016883244
ENSG00000279483.2,0.0016862352
ENSG00000133048.13,0.0016749278
ENSG00000205426.10,0.0016645726
ENSG00000185885.16,0.001659013
ENSG00000260260.1,0.0016544005
ENSG00000123838.11,0.0016518622
cg22943986,0.0016438076
ENSG00000113739.10,0.0016401152
cg12662576,0.0016367764
ENSG00000246705.4,0.0016347689
ENSG00000074800.16,0.0016276374
ENSG00000177954.14,0.0016227806
cg22986569,0.0016158241
ENSG00000211445.12,0.0016149543
ENSG00000142156.15,0.0016112152
ENSG00000244468.1,0.0016062639
cg17882374,0.0015978089
cg15320905,0.0015945581
ENSG00000122852.15,0.001592308
ENSG00000108298.12,0.0015885916
ENSG00000133636.11,0.0015846266
ENSG00000131400.8,0.001578321
ENSG00000263639.7,0.0015763178
ENSG00000153002.12,0.0015737348
ENSG00000124145.6,0.0015721638
ENSG00000115461.5,0.0015719188
cg09106903,0.001567485
ENSG00000211896.7,0.0015413308
cg25580656,0.0015351042
ENSG00000211949.3,0.0015317947
ENSG00000263740.2,0.0015260753
ENSG00000206737.1,0.0015251448
cg01481251,0.0015221706
ENSG00000145824.13,0.0015166725
ENSG00000158710.15,0.0015151397
ENSG00000100285.10,0.001514217
cg13641185,0.001501828
ENSG00000115414.21,0.0014848111
cg26473189,0.0014767913
cg14696311,0.0014693188
ENSG00000175899.15,0.0014677856
ENSG00000162244.12,0.0014608697
ENSG00000099795.7,0.0014605963
11p,0.0014537654
ENSG00000137673.9,0.0014490279
cg05306745,0.0014403391
cg14498227,0.0014336174
ENSG00000238741.1,0.001433168
cg12515659,0.0014287756
ENSG00000163631.17,0.0014282658
20q,0.0014233413
cg22784954,0.0014148521
ENSG00000106537.8,0.0014104316
ENSG00000102316.17,0.0014053569
cg06741896,0.001387975
ENSG00000134193.15,0.0013816622
ENSG00000109062.12,0.0013806468
ENSG00000136942.15,0.0013798991
cg17233090,0.0013775291
ENSG00000100604.13,0.0013744255
ENSG00000198840.2,0.0013726751
ENSG00000164816.8,0.0013550862
cg22621695,0.0013429598
ENSG00000124935.4,0.0013406808
ENSG00000107018.8,0.0013268834
cg01357429,0.0013205514
cg10909185,0.0013196418
ENSG00000135404.12,0.0013041291
ENSG00000169710.9,0.0013001816
cg25225379,0.0012948074
ENSG00000200087.1,0.0012731149
ENSG00000118680.14,0.0012723334
ENSG00000211892.4,0.001270043
cg00092518,0.0012630586
13q,0.0012541729
ENSG00000197746.14,0.0012503685
ENSG00000212232.1,0.0012448204
ENSG00000164434.12,0.0012416351
ENSG00000159335.18,0.0012260401
cg20431191,0.0012137614
ENSG00000204385.13,0.0012037805
ENSG00000184292.7,0.0012024395
ENSG00000177600.9,0.0011966294
ENSG00000280411.1,0.0011960516
Xp,0.0011939975
ENSG00000265972.6,0.001192105
2q,0.0011919254
ENSG00000138326.21,0.0011898031
ENSG00000273768.1,0.0011878745
ENSG00000117984.15,0.001185032
ENSG00000167749.11,0.0011824296
ENSG00000118181.11,0.0011759767
cg07813142,0.001170249
ENSG00000143546.10,0.0011653741
cg02535674,0.0011561194
ENSG00000090382.7,0.0011532243
cg14072016,0.0011356148
ENSG00000198804.2,0.0011231307
ENSG00000142192.21,0.0011207615
ENSG00000110680.13,0.0011197759
ENSG00000114391.13,0.0011168455
cg10244976,0.001114074
cg16049391,0.0011094684
22q,0.0011052297
cg26010734,0.0011028557
6q,0.0010982497
ENSG00000171557.17,0.0010935329
ENSG00000198727.2,0.0010884488
ENSG00000170345.10,0.0010844651
ENSG00000167658.16,0.001071896
ENSG00000124157.7,0.0010701758
