feature,importance
ENSG00000110680.13,0.011167815
cg14498227,0.008577617
cg05140257,0.008094391
ENSG00000118785.14,0.0080451425
ENSG00000166598.15,0.007857714
cg05306745,0.006877358
cg00306851,0.0065709823
ENSG00000159189.12,0.006553869
cg15497761,0.006414132
cg22943986,0.006334062
ENSG00000198727.2,0.00627319
ENSG00000019582.15,0.006056477
ENSG00000096088.16,0.006024375
ENSG00000137818.12,0.006007028
ENSG00000105193.9,0.005894114
ENSG00000208772.1,0.0058868164
ENSG00000211966.2,0.005704534
ENSG00000167658.16,0.0056602308
ENSG00000243466.1,0.0053653466
ENSG00000196126.11,0.0052921544
cg07802350,0.005247091
ENSG00000157005.4,0.0052267723
cg02612270,0.0051139416
cg17233090,0.0049954313
cg26473189,0.0049550314
cg15320905,0.0049050734
ENSG00000184012.13,0.0048258
ENSG00000139329.5,0.004822411
cg00912247,0.0046764617
ENSG00000211670.2,0.0046343105
ENSG00000129437.11,0.004566283
ENSG00000164326.5,0.0045525217
ENSG00000281990.1,0.0044828635
cg22784954,0.0043495544
ENSG00000164265.9,0.0043488177
ENSG00000106541.12,0.004269347
cg26214747,0.0042478796
ENSG00000143153.13,0.00424276
21q,0.0041973908
ENSG00000165215.6,0.0041544805
cg23238315,0.004081211
ENSG00000211950.2,0.004056711
ENSG00000167332.9,0.0040098606
ENSG00000282639.1,0.0039996617
ENSG00000145423.5,0.00399487
ENSG00000141424.13,0.0039136386
cg11104416,0.0038554347
ENSG00000273768.1,0.0038228503
ENSG00000111348.9,0.0037733957
cg17627629,0.0037708604
cg19053239,0.0037687863
ENSG00000196188.12,0.003757923
cg15931471,0.0037116709
7q,0.0036730443
cg10244976,0.003667382
ENSG00000111341.10,0.0036433695
ENSG00000130598.16,0.003533853
cg26876834,0.0034366467
ENSG00000120738.8,0.0034132646
ENSG00000241294.1,0.0034094125
ENSG00000102854.16,0.0033963155
cg06430465,0.0033659078
ENSG00000113140.11,0.0033629562
ENSG00000119655.11,0.0033587299
ENSG00000131171.13,0.0033496146
ENSG00000089220.5,0.0033456115
cg26328335,0.0033180164
ENSG00000163631.17,0.0033091349
ENSG00000063177.13,0.0032814923
ENSG00000117984.15,0.0032702317
ENSG00000171560.16,0.0031863411
ENSG00000115414.21,0.0031769432
ENSG00000118705.17,0.0031742551
cg08901662,0.00316991
ENSG00000124107.5,0.0031650378
ENSG00000092054.13,0.003131595
cg24640577,0.0030823464
ENSG00000282651.2,0.0030766625
ENSG00000171564.12,0.0030668566
ENSG00000198125.13,0.0030405666
cg24077454,0.0030297271
ENSG00000135413.9,0.003022895
ENSG00000173432.12,0.0030109263
ENSG00000211445.12,0.0030108667
ENSG00000124935.4,0.0029664163
ENSG00000118680.14,0.0029397244
ENSG00000175793.12,0.0029280763
ENSG00000125356.7,0.0029219978
cg23076870,0.0029039192
cg23179456,0.0028840376
ENSG00000165272.16,0.002868798
ENSG00000167676.4,0.0028678423
cg18430555,0.002855466
cg07162000,0.002817185
ENSG00000120885.22,0.0028166359
ENSG00000115884.11,0.002794935
cg08866780,0.0027914802
ENSG00000135052.16,0.0027544398
ENSG00000227097.5,0.0027108483
3q,0.0026784185
cg09094964,0.002670962
ENSG00000223350.2,0.0026521846
ENSG00000153446.16,0.0026468146
ENSG00000014257.16,0.0026379027
cg21311834,0.0026333965
ENSG00000211673.2,0.0026270149
ENSG00000205542.11,0.0026231206
cg22740796,0.0026197375
cg27243507,0.0025978126
ENSG00000130176.8,0.00258958
cg17919152,0.0025575564
ENSG00000186081.12,0.0025491868
ENSG00000109475.16,0.0025489405
ENSG00000211662.2,0.0025478876
ENSG00000211666.2,0.0025426764
ENSG00000111669.15,0.002540454
cg02535674,0.0025352864
ENSG00000206503.13,0.0025277396
cg25737323,0.0025254306
ENSG00000124233.12,0.002522432
cg20545544,0.0025128976
ENSG00000246705.4,0.002511289
ENSG00000131771.14,0.0025100138
ENSG00000100234.12,0.0024916797
ENSG00000162896.6,0.0024856909
cg27363327,0.0024772752
ENSG00000104267.10,0.0024691664
ENSG00000074800.16,0.002469004
cg14931854,0.0024531593
ENSG00000170345.10,0.0024406405
ENSG00000142173.16,0.0024400598
ENSG00000199805.1,0.0024347946
ENSG00000159388.6,0.002430473
ENSG00000211943.2,0.002425017
cg18173726,0.0024170065
ENSG00000196230.13,0.0024140961
ENSG00000189058.9,0.0024075008
cg11560280,0.0023983829
ENSG00000159674.12,0.0023971878
cg00535785,0.0023935921
cg26388816,0.0023515532
cg05940691,0.00234611
ENSG00000185499.16,0.002343968
ENSG00000128422.17,0.002298315
ENSG00000125148.7,0.0022504285
ENSG00000117472.10,0.0022177456
ENSG00000240382.3,0.0022125598
ENSG00000221716.1,0.0022039977
ENSG00000158715.6,0.0022017907
ENSG00000200087.1,0.0021865675
ENSG00000163993.7,0.0021623406
cg13782274,0.0021621978
ENSG00000211956.2,0.0021419583
ENSG00000276168.1,0.0021414284
cg13879483,0.0021255517
ENSG00000275385.2,0.0021239033
ENSG00000107796.13,0.0021141309
ENSG00000102172.16,0.0021083613
cg04769798,0.0021035173
ENSG00000251791.1,0.002095012
ENSG00000169738.8,0.0020911638
ENSG00000211598.2,0.0020710935
cg11738485,0.0020708672
ENSG00000084207.18,0.0020522939
ENSG00000122585.8,0.0020489024
ENSG00000149273.15,0.002047026
ENSG00000111640.15,0.0020416798
ENSG00000241755.1,0.0020411273
cg12019614,0.0020326409
ENSG00000172551.11,0.002022124
ENSG00000170323.9,0.0020218347
cg03596016,0.0020130686
ENSG00000163017.14,0.0020044332
ENSG00000197956.10,0.0019961854
ENSG00000189334.9,0.001995828
cg25225379,0.0019792402
18q,0.0019733247
ENSG00000211896.7,0.001967844
ENSG00000198744.5,0.001959032
ENSG00000012223.13,0.001952948
ENSG00000120129.6,0.0019407443
ENSG00000211640.4,0.0019248199
ENSG00000142541.18,0.0019209014
ENSG00000198502.6,0.0019177786
ENSG00000137154.13,0.0019163926
ENSG00000233927.5,0.0019069219
ENSG00000240864.3,0.001886622
ENSG00000135480.16,0.0018742691
ENSG00000022267.19,0.0018730166
ENSG00000145824.13,0.0018610811
ENSG00000159182.5,0.0018602061
ENSG00000096384.20,0.0018599594
ENSG00000196611.5,0.0018485603
20q,0.0018257792
ENSG00000175130.7,0.0018243724
ENSG00000196154.12,0.0018232788
cg12515659,0.0018183143
